GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demothymeleaf,com.scrum.repositories,LoginRepository,3,12,0,0,2,4,1,2,1,2
demothymeleaf,com.scrum.repositories,EmployeeRepository,3,50,0,2,2,13,1,7,1,6
demothymeleaf,com.scrum.repositories,TaskRepository,82,79,8,4,18,22,6,10,2,8
demothymeleaf,com.scrum.log,LoggerMain,26,4,0,0,11,1,2,1,2,1
demothymeleaf,com.scrum.mailer,Mailer,245,0,6,0,54,0,10,0,7,0
demothymeleaf,com.scrum.mailer,MailGenerator,62,0,2,0,9,0,4,0,3,0
demothymeleaf,com.scrum,ScrumController,491,88,35,7,93,27,27,10,6,10
demothymeleaf,com.scrum,ScrumApplication,23,6,0,0,9,2,2,2,2,2
demothymeleaf,com.scrum.fileops,FileReader,109,0,4,0,19,0,5,0,3,0
demothymeleaf,com.scrum.fileops,DateTimeOps,3,11,0,0,1,2,1,1,1,1
demothymeleaf,com.scrum.business,Employee,58,45,0,0,9,20,2,13,2,13
demothymeleaf,com.scrum.business,Login,17,17,0,0,1,7,1,5,1,5
demothymeleaf,com.scrum.business,Task,76,96,0,0,14,37,2,16,2,16
demothymeleaf,com.scrum.jdbc,JDBCops,791,18,18,0,165,6,22,1,13,1
